,id,data_lancamento,preco_venda_unidade,padrao_unidade,qtd_unidades,incorporadora,municipio,lati,long
0,32,2024-01-01,282500,econômico,198,Rio Living,belo horizonte,-19.8997776441393,-44.06402562436219
1,33,2024-01-01,263000,econômico,255,Cais Habitar,belo horizonte,-20.01345024861144,-43.973417517094845
2,53,2024-01-01,734000,médio padrão,160,Cais Habitar,belo horizonte,-20.02147127553102,-43.91857109293215
3,64,2024-01-01,773500,médio padrão,70,Areia Desenvolvimento,são paulo,-23.351334403973095,-46.41643998663074
4,66,2024-01-01,253500,econômico,230,Ipê Construtora,são paulo,-23.710808097754196,-46.39914897507801
5,71,2024-01-01,255500,econômico,119,Lua Construtora,são paulo,-23.722092469109874,-46.84955344679669
6,107,2024-01-01,907000,médio padrão,113,Rio Residencial,são paulo,-23.63557969156039,-46.863058332133726
7,115,2024-01-01,228000,econômico,208,Ipê Construtora,belo horizonte,-19.956229015291424,-44.08725987935628
8,126,2024-01-01,263000,econômico,189,Vale Urbanismo,são paulo,-23.47366750561711,-46.510549820374024
9,131,2024-01-01,296000,econômico,222,Cais Habitar,são paulo,-23.52515344004406,-46.59555253795072
10,155,2024-01-01,247500,econômico,238,Verde Construtora,são paulo,-23.355128245666194,-46.44993067221288
11,181,2024-01-01,656500,médio padrão,144,Cedro Construtora,são paulo,-23.425545966123106,-46.448323067371184
12,184,2024-01-01,251500,econômico,209,Ventura Urbanismo,rio de janeiro,-22.87170983773695,-43.182654511937855
13,194,2024-01-01,781000,médio padrão,141,Jacarandá Desenvolvimento,são paulo,-23.39938121717937,-46.64152423284196
14,197,2024-01-01,692500,médio padrão,95,Ponte Residencial,são paulo,-23.775128315724448,-46.70344670707387
15,199,2024-01-01,218000,econômico,292,Serra Desenvolvimento,belo horizonte,-19.82371854551863,-43.8950477854405
16,209,2024-01-01,316500,econômico,240,Vila Realty,são paulo,-23.788060403257266,-46.49109702132769
17,274,2024-01-01,224000,econômico,190,Verde Desenvolvimento,são paulo,-23.576977714809487,-46.86963452381061
18,281,2024-01-01,846000,médio padrão,123,Jacarandá Empreendimentos,belo horizonte,-19.80182362132278,-43.95493994581427
19,282,2024-01-01,747500,médio padrão,112,Arvoredo Living,são paulo,-23.479262637807416,-46.65393398651434
20,299,2024-01-01,280500,econômico,224,Verde Novas Cidades,são paulo,-23.513498374037663,-46.67542233755186
21,303,2024-01-01,211000,econômico,256,Serra Urbanismo,rio de janeiro,-22.945001967568835,-43.74615214322996
22,325,2024-01-01,263000,econômico,241,Ipê Empreendimentos,belo horizonte,-19.813733324541037,-43.941911237308425
23,329,2024-01-01,276500,econômico,220,Vila Realty,são paulo,-23.362989181688953,-46.75764039951943
24,341,2024-01-01,761000,médio padrão,148,Vila Realty,são paulo,-23.454905994351762,-46.45648069916227
25,346,2024-01-01,259000,econômico,230,Rio Residencial,são paulo,-23.641631525639667,-46.58881537934425
26,361,2024-01-01,260500,econômico,220,Serra Urbanismo,rio de janeiro,-22.922313050888377,-43.25742647371703
27,366,2024-01-01,686500,médio padrão,118,Ipê Construtora,são paulo,-23.47172721046256,-46.37811943356798
28,370,2024-01-01,282000,econômico,269,Vale Novas Cidades,são paulo,-23.681771681613327,-46.35768364130786
29,374,2024-01-01,686000,médio padrão,102,Areia Realty,belo horizonte,-20.042873048062845,-44.085927796754504
30,395,2024-01-01,299500,econômico,335,Ipê Urbanismo,são paulo,-23.375135358815676,-46.62216563282769
31,399,2024-01-01,815500,médio padrão,148,Ventura Urbanismo,rio de janeiro,-23.00298065092631,-43.76000618629999
32,408,2024-01-01,295500,econômico,246,Vila Realty,são paulo,-23.522048742750865,-46.52692916537906
33,410,2024-01-01,239500,econômico,220,Jardim Residencial,rio de janeiro,-22.810628810195144,-43.391096324083016
34,441,2024-01-01,775500,médio padrão,116,Aurora Habitar,belo horizonte,-19.78377313055898,-44.08778115578728
35,454,2024-01-01,258000,econômico,188,Jardim Desenvolvimento,belo horizonte,-19.805486552977573,-44.01979077601505
36,458,2024-01-01,240000,econômico,185,Areia Desenvolvimento,são paulo,-23.67644339044259,-46.67928151553979
37,479,2024-01-01,686000,médio padrão,177,Ipê Construtora,são paulo,-23.764222496608433,-46.487040016609946
38,484,2024-01-01,258000,econômico,218,Areia Realty,rio de janeiro,-22.77650186571233,-43.22645683564368
39,500,2024-01-01,269000,econômico,243,Lua Residencial,belo horizonte,-19.751195273469243,-44.08408410267029
40,503,2024-01-01,243500,econômico,260,Areia Desenvolvimento,são paulo,-23.357996186136887,-46.36959814541828
41,511,2024-01-01,220500,econômico,289,Verde Construtora,rio de janeiro,-22.854555217511724,-43.20701339504963
42,528,2024-01-01,844500,médio padrão,90,Areia Realty,belo horizonte,-19.956633067238734,-44.09688358504053
43,537,2024-01-01,244500,econômico,228,Parque Incorp,rio de janeiro,-22.77961107201863,-43.45880607949927
44,541,2024-01-01,287500,econômico,270,Rio Residencial,belo horizonte,-19.892972845646533,-43.87320065666585
45,542,2024-01-01,728000,médio padrão,120,Ponte Residencial,são paulo,-23.57231102323999,-46.84455374220902
46,548,2024-01-01,261000,econômico,204,Serra Desenvolvimento,belo horizonte,-19.846277736964122,-43.91086325914952
47,556,2024-01-01,578000,médio padrão,124,Vila Realty,são paulo,-23.43263931734088,-46.5056186684577
48,579,2024-01-01,605000,médio padrão,152,Cais Habitar,são paulo,-23.559529700531375,-46.747885392488705
49,596,2024-01-01,750500,médio padrão,120,Serra Urbanismo,belo horizonte,-19.95712846419101,-44.049932292477465
50,611,2024-01-01,735000,médio padrão,146,Vila Realty,são paulo,-23.510773608393976,-46.541054572972286
51,612,2024-01-01,215500,econômico,241,Areia Realty,rio de janeiro,-23.017306347952584,-43.58752062060988
52,615,2024-01-01,673000,médio padrão,136,Ventura Urbanismo,belo horizonte,-19.972783727291617,-43.94497184276317
53,629,2024-01-01,222000,econômico,242,Ventura Urbanismo,rio de janeiro,-23.06289912761802,-43.50302452268222
54,642,2024-01-01,303500,econômico,217,Serra Urbanismo,rio de janeiro,-22.812455668576387,-43.46820780457429
55,658,2024-01-01,209500,econômico,167,Verde Construtora,rio de janeiro,-22.821501982256247,-43.50713625767361
56,677,2024-01-01,213500,econômico,249,Vale Novas Cidades,são paulo,-23.36837325741983,-46.4117753528755
57,679,2024-01-01,675000,médio padrão,93,Lua Residencial,rio de janeiro,-22.798132571555783,-43.64129806390974
58,680,2024-01-01,186500,econômico,176,Serra Desenvolvimento,rio de janeiro,-22.854996446076402,-43.794488895701804
59,700,2024-01-01,298500,econômico,180,Cais Habitar,rio de janeiro,-22.77827226522083,-43.51829552090347
60,726,2024-01-01,294500,econômico,249,Cedro Construtora,são paulo,-23.40564489877112,-46.81048765438508
61,729,2024-01-01,769500,médio padrão,122,Ponte Residencial,são paulo,-23.694046592343753,-46.62679422060506
62,731,2024-01-01,243500,econômico,101,Verde Construtora,rio de janeiro,-22.871905434381112,-43.2750582294017
63,741,2024-01-01,276000,econômico,263,Bosque Living,belo horizonte,-19.947896660822085,-43.881275699881854
64,744,2024-01-01,889500,médio padrão,130,Verde Desenvolvimento,são paulo,-23.59611304563558,-46.42888365256795
65,745,2024-01-01,243500,econômico,261,Serra Desenvolvimento,rio de janeiro,-22.96001706912638,-43.29856091563426
66,768,2024-01-01,228500,econômico,217,Ipê Construtora,belo horizonte,-19.922505489333616,-44.031267077007406
67,770,2024-01-01,717000,médio padrão,119,Rio Residencial,são paulo,-23.7609644042704,-46.37773497614049
68,785,2024-01-01,729000,médio padrão,164,Lua Residencial,rio de janeiro,-23.020266097119766,-43.24363431482031
69,788,2024-01-01,291500,econômico,254,Rio Living,rio de janeiro,-22.88256838762522,-43.33000861349748
70,808,2024-01-01,294500,econômico,69,Serra Urbanismo,rio de janeiro,-22.905534916008378,-43.282964659747385
71,816,2024-01-01,298500,econômico,197,Rio Living,rio de janeiro,-22.807769455571467,-43.128072361518086
72,821,2024-01-01,298500,econômico,179,Jacarandá Desenvolvimento,belo horizonte,-20.048715156810122,-43.97394742458029
73,842,2024-01-01,222500,econômico,232,Jacarandá Desenvolvimento,rio de janeiro,-22.951104583828034,-43.611815303285574
74,844,2024-01-01,293000,econômico,223,Ipê Urbanismo,são paulo,-23.411278772381312,-46.877365739971175
75,851,2024-01-01,234000,econômico,209,Verde Desenvolvimento,são paulo,-23.37167539808614,-46.66468196796942
76,853,2024-01-01,741500,médio padrão,169,Nuvem Empreendimentos,belo horizonte,-19.98508013101562,-43.892740436062084
77,864,2024-01-01,771500,médio padrão,144,Cedro Construtora,são paulo,-23.641581761480463,-46.60443075593686
78,874,2024-01-01,294500,econômico,287,Bosque Living,belo horizonte,-20.01965703600172,-43.965703211418244
79,889,2024-01-01,709500,médio padrão,136,Jacarandá Residencial,são paulo,-23.549550017925576,-46.86834418023082
80,895,2024-01-01,266000,econômico,243,Jardim Urbanismo,rio de janeiro,-22.825616946928054,-43.518330268156866
81,911,2024-01-01,216000,econômico,208,Verde Novas Cidades,belo horizonte,-19.81367418434021,-43.875764302041674
82,913,2024-01-01,256500,econômico,221,Cedro Empreendimentos,belo horizonte,-20.024227328515014,-43.94762777822762
83,953,2024-01-01,277000,econômico,186,Lua Construtora,rio de janeiro,-22.9254662582999,-43.30846991246503
84,958,2024-01-01,251000,econômico,285,Vale Urbanismo,são paulo,-23.405504239824268,-46.39821413885715
85,966,2024-01-01,195500,econômico,138,Bosque Living,belo horizonte,-19.809886890555244,-43.977097602670504
86,986,2024-01-01,229500,econômico,228,Jardim Urbanismo,rio de janeiro,-22.83750590657084,-43.513508580751065
87,1002,2024-01-01,224000,econômico,274,Areia Realty,belo horizonte,-20.004191891950068,-43.92703513150692
88,1030,2024-01-01,350000,econômico,213,Verde Construtora,rio de janeiro,-22.867321717231746,-43.16313478410032
89,1033,2024-01-01,681500,médio padrão,85,Nuvem Empreendimentos,rio de janeiro,-22.898626232889693,-43.21020732697326
90,1046,2024-01-01,523000,médio padrão,127,Serra Urbanismo,belo horizonte,-19.9737543135643,-43.92675619745019
91,1051,2024-01-01,778000,médio padrão,119,Aurora Habitar,belo horizonte,-19.921625883853014,-44.09686619758038
92,1053,2024-01-01,645000,médio padrão,143,Parque Habitar,são paulo,-23.68168866754202,-46.8328737101356
93,1060,2024-01-01,274000,econômico,184,Vale Novas Cidades,são paulo,-23.594197750081005,-46.536707418488135
94,1075,2024-01-01,285000,econômico,146,Ipê Empreendimentos,belo horizonte,-19.895083172941547,-44.003706992770994
95,1087,2024-01-01,246000,econômico,250,Serra Living,são paulo,-23.370924543327323,-46.35242136029044
96,1092,2024-01-01,288000,econômico,302,Verde Desenvolvimento,são paulo,-23.771698940956213,-46.54130176708975
97,1120,2024-01-01,730500,médio padrão,147,Areia Habitar,são paulo,-23.617013287872993,-46.8062048006354
98,1176,2024-01-01,227000,econômico,270,Serra Urbanismo,rio de janeiro,-22.832254487419565,-43.24705160993111
99,1196,2024-01-01,308000,econômico,214,Ponte Residencial,são paulo,-23.429809904424165,-46.82890372975753
100,21,2024-02-01,246000,econômico,169,Arvoredo Living,são paulo,-23.538522487134824,-46.70922160750584
101,26,2024-02-01,661000,médio padrão,86,Ipê Empreendimentos,belo horizonte,-19.883544259182557,-44.007269429034395
102,29,2024-02-01,752500,médio padrão,130,Verde Desenvolvimento,são paulo,-23.657831926676145,-46.47539316233896
103,35,2024-02-01,285500,econômico,193,Vale Novas Cidades,são paulo,-23.664573088698578,-46.63127877505666
104,37,2024-02-01,276500,econômico,350,Verde Novas Cidades,belo horizonte,-19.871187234029687,-43.866744194599946
105,47,2024-02-01,802000,médio padrão,81,Ponte Residencial,são paulo,-23.439088353876883,-46.47128735257577
106,60,2024-02-01,264000,econômico,301,Verde Novas Cidades,são paulo,-23.551153120636197,-46.385123007238846
107,73,2024-02-01,733500,médio padrão,68,Cais Habitar,rio de janeiro,-22.855078419393827,-43.31307513356602
108,98,2024-02-01,253500,econômico,191,Verde Novas Cidades,são paulo,-23.356506923727284,-46.64426459909349
109,102,2024-02-01,765500,médio padrão,129,Verde Construtora,rio de janeiro,-22.862949410222463,-43.77779453315354
110,118,2024-02-01,213000,econômico,257,Jacarandá Empreendimentos,belo horizonte,-19.815825658742025,-43.88969907344626
111,145,2024-02-01,662500,médio padrão,81,Serra Desenvolvimento,rio de janeiro,-23.05177226242527,-43.57165010514297
112,149,2024-02-01,653500,médio padrão,122,Jacarandá Residencial,são paulo,-23.41908465876942,-46.80127936020965
113,165,2024-02-01,730500,médio padrão,146,Vale Novas Cidades,são paulo,-23.79110509959579,-46.72039923653052
114,166,2024-02-01,673000,médio padrão,84,Serra Urbanismo,rio de janeiro,-23.054723018789606,-43.59363560579871
115,180,2024-02-01,846500,médio padrão,163,Lua Construtora,são paulo,-23.592456001373094,-46.6663726913515
116,188,2024-02-01,304500,econômico,276,Jardim Residencial,belo horizonte,-19.930448012957736,-43.85240288565988
117,189,2024-02-01,822500,médio padrão,123,Vale Urbanismo,são paulo,-23.406212110425663,-46.363422394794384
118,218,2024-02-01,786000,médio padrão,134,Jardim Residencial,são paulo,-23.36151229460102,-46.855595595998494
119,225,2024-02-01,810500,médio padrão,126,Parque Incorp,rio de janeiro,-22.78537744828782,-43.071147136014964
120,227,2024-02-01,280000,econômico,169,Aurora Habitar,belo horizonte,-19.770794653436614,-43.94694474785151
121,230,2024-02-01,818500,médio padrão,119,Vila Realty,são paulo,-23.709159736775707,-46.45967900862939
122,252,2024-02-01,316500,econômico,206,Serra Living,são paulo,-23.644911601069772,-46.593649019965206
123,259,2024-02-01,233500,econômico,194,Cedro Construtora,são paulo,-23.58426231633735,-46.42600207020119
124,268,2024-02-01,291500,econômico,137,Areia Habitar,rio de janeiro,-22.92399377205688,-43.42104230828018
125,305,2024-02-01,248500,econômico,186,Serra Urbanismo,belo horizonte,-19.87017195742602,-43.86171290502187
126,313,2024-02-01,669000,médio padrão,155,Arvoredo Living,são paulo,-23.417959709818817,-46.64014222733953
127,327,2024-02-01,229000,econômico,285,Vila Realty,são paulo,-23.65424443177632,-46.636110823484664
128,328,2024-02-01,268000,econômico,307,Vila Realty,são paulo,-23.680385764026223,-46.6227648513895
129,338,2024-02-01,259000,econômico,223,Verde Desenvolvimento,são paulo,-23.713176218577935,-46.69175848991102
130,343,2024-02-01,719000,médio padrão,169,Ipê Construtora,são paulo,-23.414412823637544,-46.846164195881826
131,351,2024-02-01,782000,médio padrão,141,Jacarandá Empreendimentos,belo horizonte,-19.95302023469047,-43.95309125633674
132,363,2024-02-01,345500,econômico,235,Areia Habitar,são paulo,-23.610899884435405,-46.796542674533256
133,377,2024-02-01,738000,médio padrão,134,Vila Realty,são paulo,-23.63503852142543,-46.613206234413106
134,380,2024-02-01,251000,econômico,224,Jardim Desenvolvimento,belo horizonte,-19.753844100387493,-44.08877991938093
135,403,2024-02-01,813000,médio padrão,88,Jardim Desenvolvimento,belo horizonte,-19.860614224808174,-43.94496333563362
136,406,2024-02-01,297000,econômico,181,Areia Desenvolvimento,são paulo,-23.65615049456781,-46.73832174099149
137,411,2024-02-01,915500,médio padrão,112,Vila Realty,são paulo,-23.423710112069003,-46.85779276539216
138,417,2024-02-01,319000,econômico,301,Arvoredo Living,belo horizonte,-19.7793550994773,-43.88063075469394
139,443,2024-02-01,274500,econômico,290,Serra Desenvolvimento,belo horizonte,-19.98500996853824,-43.92702872682352
